,Year,Average Total Employment,county,state
5549,2015,3090.166667,Sherman County,KS
5550,2010,1092.75,Stanton County,KS
5551,2011,1063.833333,Stanton County,KS
5552,2012,1048.083333,Stanton County,KS
5553,2013,1045.333333,Stanton County,KS
5554,2014,1026.416667,Stanton County,KS
5555,2015,1061.5,Stanton County,KS
5556,2010,2870.416667,Stevens County,KS
5557,2011,2765.25,Stevens County,KS
5558,2012,2885.916667,Stevens County,KS
5559,2013,3313.416667,Stevens County,KS
5560,2014,3364.083333,Stevens County,KS
5561,2015,3178.333333,Stevens County,KS
5562,2010,893.5833333,Wallace County,KS
5563,2011,882,Wallace County,KS
5564,2012,871.6666667,Wallace County,KS
5565,2013,852.75,Wallace County,KS
5566,2014,875.6666667,Wallace County,KS
5567,2015,876.75,Wallace County,KS
5568,2010,1335.583333,Wichita County,KS
5569,2011,1329.083333,Wichita County,KS
5570,2012,1331.583333,Wichita County,KS
5571,2013,1288.083333,Wichita County,KS
5572,2014,1234.166667,Wichita County,KS
5573,2015,1254.583333,Wichita County,KS
5574,2010,1736.083333,Woodson County,KS
5575,2011,1718.083333,Woodson County,KS
5576,2012,1644.333333,Woodson County,KS
5577,2013,1627.166667,Woodson County,KS
5578,2014,1626.916667,Woodson County,KS
5579,2015,1610.75,Woodson County,KS
5580,2010,4572.25,Anderson County,KS
5581,2011,4489.5,Anderson County,KS
5582,2012,4299.583333,Anderson County,KS
5583,2013,4238.75,Anderson County,KS
5584,2014,4186.416667,Anderson County,KS
5585,2015,4134.333333,Anderson County,KS
5586,2010,7937.166667,Atchison County,KS
5587,2011,7926.25,Atchison County,KS
5588,2012,7835.5,Atchison County,KS
5589,2013,7776.916667,Atchison County,KS
5590,2014,7631.25,Atchison County,KS
5591,2015,7470.5,Atchison County,KS
5592,2010,10797.66667,Cherokee County,KS
5593,2011,10801.41667,Cherokee County,KS
5594,2012,10570.75,Cherokee County,KS
5595,2013,10497.66667,Cherokee County,KS
5596,2014,10348.41667,Cherokee County,KS
5597,2015,10414,Cherokee County,KS
5598,2010,1404.083333,Cheyenne County,KS
5599,2011,1346.25,Cheyenne County,KS
5600,2012,1329.5,Cheyenne County,KS
5601,2013,1309.083333,Cheyenne County,KS
5602,2014,1314,Cheyenne County,KS
